date,time,source_mac,source_ip,source_port,dest_mac,dest_ip,dest_port,protocol,good,allowed
07/13/2018,22:48:80,c1:20:52:10:1e:ab:5c:89,233.210.87.252,45089,45:0a:0d:82:c7:2b:22:93,221.150.108.104,13285,UDP,0,1
09/07/2018,04:46:81,17:78:e6:9f:3f:2d:0e:cb,35.216.109.19,30489,0a:8d:79:d0:d6:a4:f6:1e,31.64.172.133,41097,TCP,1,1
06/22/2018,02:21:81,e2:c2:57:a7:4f:de:1e:a2,194.152.114.49,64169,06:a2:b1:03:59:d2:ae:98,5.78.176.69,40273,TCP,0,0
08/03/2018,10:10:81,04:8a:68:de:bb:59:9d:65,161.58.221.62,33090,a2:1b:fb:33:58:48:84:73,235.115.162.67,1134,TCP,0,0
09/24/2018,06:04:81,15:f5:66:ff:81:1a:9e:a2,116.131.103.52,19379,9e:1c:c2:5f:07:e3:c2:ec,44.90.15.1,49671,UDP,0,0
07/06/2018,03:28:81,a9:45:73:82:d9:2d:12:ea,41.218.225.69,10114,5f:65:2d:0e:6a:68:d5:90,215.80.204.66,42962,TCP,0,0
11/14/2018,13:02:81,b3:ff:0a:fe:fb:bb:dd:4d,56.245.40.136,42803,01:65:44:4a:3e:45:d6:b5,154.155.143.49,17066,TCP,1,0
10/15/2018,22:34:81,13:82:f5:98:ab:75:77:a5,70.144.89.198,17281,24:6a:a7:03:64:d1:5b:0f,241.190.80.22,2296,UDP,0,1
03/16/2018,00:57:81,9c:a4:e0:19:dc:43:ef:c4,37.117.131.205,30752,e4:12:26:d2:44:fc:3d:82,156.178.231.236,56449,UDP,1,1
07/18/2018,04:06:81,49:e4:48:97:4e:e3:b5:2f,161.96.90.87,19613,eb:5b:2d:16:15:50:66:fb,211.8.219.193,6944,UDP,1,0
11/18/2018,13:43:81,9e:d9:5a:0d:6b:c6:3e:62,229.57.193.112,33431,3f:24:ff:f9:9a:49:b2:d7,247.143.227.235,10593,UDP,0,1
03/01/2018,09:53:81,a6:8f:8f:d7:52:06:c9:96,210.142.4.249,48252,93:87:9a:e1:f2:bb:89:00,225.184.43.171,63166,UDP,0,0
05/11/2018,08:43:81,82:9d:66:ad:93:6b:ce:3f,23.124.47.151,22731,65:41:63:67:56:88:b3:a5,209.109.109.222,53003,TCP,0,0
11/05/2018,00:52:81,7b:79:5b:14:4f:97:ba:15,254.5.124.250,553,41:03:55:1f:9e:4b:dd:f5,186.221.99.179,31721,UDP,0,0
06/27/2018,04:49:81,fa:22:19:97:7f:4e:22:87,92.9.113.175,43402,16:e8:e8:1c:30:79:b1:61,224.81.118.104,38647,TCP,0,0
12/17/2018,07:12:81,48:5b:9f:c6:ea:00:34:51,152.222.177.247,34383,b7:e1:db:48:a9:4f:48:b3,175.93.77.213,48393,UDP,1,1
02/13/2018,01:23:81,06:b1:db:0b:18:a4:c5:0d,201.180.46.199,1531,f2:b2:7c:78:33:96:8a:14,242.250.162.161,5269,TCP,0,0
02/28/2018,02:19:81,96:49:4f:fb:3b:2e:da:cc,206.70.91.220,52478,5b:8e:f8:83:6f:b4:5f:b4,108.52.53.104,1903,UDP,1,0
05/18/2018,14:15:81,df:31:df:d8:48:26:45:71,147.54.233.207,45229,34:f4:ca:8e:9e:f7:b3:93,251.206.185.114,26824,UDP,1,0
08/14/2018,06:53:81,e3:cb:62:a6:6c:4e:5f:69,119.202.17.108,14317,2e:f5:82:69:00:d1:13:fa,24.197.81.124,32881,TCP,0,1
09/17/2018,22:41:81,86:2f:e6:f2:b8:c1:30:94,101.74.212.139,58417,92:31:df:a6:47:36:7e:1d,231.97.178.80,18727,TCP,0,1
04/12/2018,22:17:82,d9:f0:cc:d7:49:28:ba:a7,197.48.152.197,33588,95:c7:a8:07:de:3b:ab:bc,72.216.73.72,59816,TCP,1,1
02/27/2018,04:54:82,88:86:83:77:4e:4b:69:32,98.253.54.72,15684,74:c1:31:0e:c7:1e:09:a0,162.226.249.241,11289,UDP,0,0
06/07/2018,09:58:82,56:8b:a6:c8:8c:97:c3:a8,44.218.154.212,16156,76:30:68:11:82:7f:88:65,116.140.114.5,54241,TCP,1,1
12/19/2018,07:38:82,fe:00:a6:b1:d8:16:2a:41,8.40.13.83,30904,25:57:0c:5b:a5:bd:c6:73,17.189.167.14,18164,UDP,0,1
04/03/2018,09:43:82,be:c5:da:0a:3f:8b:9e:93,82.139.104.245,61963,03:f9:3c:a8:75:4b:50:cd,70.39.214.118,17703,UDP,1,0
08/16/2018,20:53:82,e8:b3:76:c0:27:60:38:0d,11.38.143.150,420,1c:26:f5:51:af:3f:6f:99,128.98.40.128,51800,UDP,0,0
04/06/2018,00:10:82,f5:96:6a:d7:20:fd:58:69,94.58.26.242,53155,7b:b7:71:6a:91:59:16:47,219.202.70.192,12212,TCP,1,0
06/10/2018,12:04:82,fd:56:31:39:3a:5e:36:a0,47.128.43.112,21315,52:17:08:88:ed:8a:41:61,175.97.237.48,15596,UDP,0,0
05/29/2018,10:12:82,71:13:08:eb:f6:c3:63:58,95.103.43.19,29630,d4:78:5a:83:1a:bb:e2:e1,36.46.175.239,9023,UDP,1,1
06/04/2018,12:14:82,ab:05:ae:0c:dc:8c:23:da,49.178.122.215,5323,60:50:7f:00:7c:e4:60:83,145.99.136.184,2733,TCP,1,1
03/02/2018,14:53:82,10:71:74:6f:40:b1:8b:ed,166.126.152.42,45674,3c:af:32:b9:4e:2d:5d:31,85.151.2.58,54011,TCP,1,1
08/17/2018,07:57:82,b5:dc:97:ce:f3:2e:80:03,183.46.142.2,43167,db:7c:ec:bf:10:63:5f:d1,100.109.94.196,55344,TCP,1,0
05/28/2018,06:22:82,46:ea:ae:f8:12:77:84:d6,74.90.60.131,61959,5d:27:83:cf:68:16:23:ac,56.61.84.49,53303,TCP,0,1
04/03/2018,02:13:82,0f:db:1a:00:f0:27:5d:4a,46.38.149.108,10627,f5:c5:35:00:75:e2:fd:18,122.141.38.170,29294,TCP,1,0
12/14/2018,07:46:82,3b:bd:fb:b8:47:7b:35:a8,211.223.29.122,14181,ce:1b:2b:91:fa:db:f9:bd,74.32.126.21,6206,UDP,0,0
10/01/2018,05:06:82,e6:dc:de:77:36:41:e6:cc,81.207.80.160,15910,fd:87:a3:74:9e:3c:7b:02,37.65.208.222,39989,TCP,1,1
07/24/2018,05:32:82,b6:98:49:5e:2f:ef:bc:04,139.253.138.252,27532,6a:4b:2e:5f:94:c2:56:3f,229.153.21.85,8862,TCP,0,0
